OBJECTID,CMPTRL_CNTY_NBR,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,CNTY_NM,GID,SHAPE_Length,SHAPE_Area
218,135,135,48269,135,25,King,203,1.92649848654134,0.229909364712997
219,63,63,48125,63,25,Dickens,204,1.91842531011704,0.228209230719774
220,12,12,48023,12,3,Baylor,205,1.91232895026041,0.22668083829652
221,54,54,48107,54,5,Crosby,206,1.91227402287768,0.226791368645352
222,152,152,48303,152,5,Lubbock,207,1.91273939573219,0.22660564937263
223,5,5,48009,5,3,Archer,208,1.93963807462692,0.232889296484139
224,220,220,48439,220,2,Tarrant,176,1.90574058557247,0.225294270243702
225,57,57,48113,57,18,Dallas,177,1.90778204696894,0.226420717555932
226,33,33,48065,33,4,Carson,241,1.95761138971784,0.237516649952064
227,188,188,48375,188,4,Potter,242,1.95860168767893,0.236917119444077
228,180,180,48359,180,4,Oldham,243,2.63767623201704,0.385818050943047
229,106,106,48211,107,4,Hemphill,244,1.95245467888851,0.235628982354591
230,197,197,48393,197,4,Roberts,245,1.96404512758907,0.238585300139162
231,117,117,48233,118,4,Hutchinson,246,1.93556604684444,0.231226213414507
232,171,171,48341,171,4,Moore,247,1.94986775399656,0.234984170350602
233,103,103,48205,104,4,Hartley,248,2.61721399823486,0.37798513015983
234,38,38,48075,38,25,Childress,228,1.70857444621557,0.181527865813025
235,96,96,48191,97,25,Hall,229,1.92714851141809,0.229964490002755
236,23,23,48045,23,25,Briscoe,230,1.92390559660773,0.229466116434975
237,219,219,48437,219,5,Swisher,231,1.92457742895032,0.229375664804105
238,35,35,48069,35,5,Castro,232,1.92347570527485,0.228709404052158
239,185,185,48369,185,5,Parmer,233,1.90459990454454,0.225119133021615
240,44,44,48087,44,25,Collingsworth,234,1.94963207219216,0.23498418298406
241,65,65,48129,65,25,Donley,235,1.96638225518856,0.238522225447366
242,6,6,48011,6,4,Armstrong,236,1.94394677659343,0.233142091233462
243,191,191,48381,191,4,Randall,237,1.95490917260591,0.235775082959421
244,59,59,48117,59,4,Deaf Smith,238,2.6208636535769,0.382944718538703
245,242,242,48483,242,25,Wheeler,239,1.95125205304532,0.235165914067692
246,90,90,48179,91,4,Gray,240,1.96737554072762,0.238916683982931
247,211,211,48421,211,4,Sherman,252,1.96799175383245,0.239757131100506
248,56,56,48111,56,4,Dallam,253,2.64774939861988,0.391035065462263
249,34,34,48067,34,19,Cass,254,2.72963096311781,0.24008255806113
250,148,148,48295,148,4,Lipscomb,249,1.97980596133319,0.242396190724589
251,179,179,48357,179,4,Ochiltree,250,1.9673216974494,0.238826578974126
252,98,98,48195,99,4,Hansford,251,1.96547897830668,0.239190387776425
253,119,119,48237,120,2,Jack,198,1.93399823325288,0.230608850200879
254,64,64,48127,64,22,Dimmit,17,2.32009216721851,0.314519813654213
